Year,1,2,3,4,5,6,7,8,9,10,11,12
1975,35494,37979,48733,50090,54741,56824,54439,60901,62188,68959,61335,41163
1976,53132,54190,67721,72636,75719,70727,69515,78207,77460,90774,74705,49453
1977,63052,66138,78442,88615,83151,78977,72650,85528,89828,99762,84919,58604
1978,71812,74218,88620,93260,97457,93537,84141,95242,103099,115515,95860,66635
1979,81236,81422,94674,103420,107847,102237,92006,106788,108925,106092,78319,63134
1980,71641,76744,83315,99721,95429,66477,74388,84088,84395,90348,84113,65756
1981,67745,68478,85521,105884,110425,91370,93281,103857,95866,106237,93067,71483
1982,82355,71581,99026,106283,106818,96854,96566,104960,90243,120334,92761,77263
1983,76069,82116,94332,110266,112060,100368,110247,111372,108922,118860,93737,76202
1984,81449,82345,99650,123899,117099,112879,108754,120934,120313,131303,111482,87211
1985,87607,89896,114208,132524,133871,124336,120385,137427,128309,135857,123102,98523
1986,93762,101399,135607,141196,146104,140768,143315,162399,145856,182229,147942,119395
1987,120216,117265,154829,163274,174367,166206,161157,180701,165037,181308,161056,129085
1988,126211,137234,173089,182152,185396,207756,211383,216431,237188,247602,226748,189272
1989,175910,181037,223559,227976,255694,244475,233846,243512,246940,266560,230075,198470
1990,191369,199317,242416,253425,250325,259479,253404,266182,268694,284549,260198,229481
1991,202797,239174,238993,255745,277575,272068,262671,293781,276797,315219,290153,271367
1992,232561,265813,278670,273036,280657,281524,272967,313671,253522,285057,256798,236805
1993,215471,213006,258417,251340,263610,266724,263407,334963,293650,378693,300323,291622
1994,234632,260454,329920,288783,294071,317483,280580,317241,298808,340990,321669,295393
1995,260834,272786,307420,298181,335127,331210,314430,351721,314046,354634,319713,293095
1996,255074,282573,311883,295621,323260,306685,292752,322666,307172,359180,317987,308926
1997,270801,293432,330085,315434,347497,332837,338436,346828,327415,366973,318486,319916
1998,277419,314661,367865,337142,356454,357637,366185,375910,370064,382106,368947,375826
1999,327838,355260,398207,354919,399885,398022,391139,407806,393338,440194,405998,387179
2000,373424,427929,443937,434071,473849,447890,456447,447317,459803,470669,455115,431341
2001,398095,392689,450964,433180,470220,460330,457269,476642,421076,419422,373855,393462
2002,362304,395402,449487,444256,437327,403466,459073,477092,488734,526527,447585,456215
2003,384918,408695,404640,317171,265186,295508,376923,453805,440062,475442,446166,484246
2004,423670,403784,448874,452724,475935,491386,506358,522756,486468,574693,519539,511951
2005,458321,477706,532397,497955,475348,467986,494678,529911,507810,568452,501093,511095
2006,433279,453525,518041,539636,516238,502267,498441,561531,537091,578061,521265,495671
2007,436461,469937,529708,531517,524629,523509,527772,584759,557825,646106,562287,553730
2008,485069,530489,592515,569835,570224,539839,568446,580894,587853,650504,579022,636151
2009,607659,666928,724117,688586,574559,530506,609258,695880,678691,737373,642672,661304
2010,569453,638911,769894,730265,729450,718440,754672,833693,764693,872550,738271,677366
2011,586152,667089,781286,754458,743464,795850,881809,977296,906813,988320,869876,842383
2012,753793,810967,916357,967593,942602,946333,1009225,1103311,986961,1025705,842189,834992
2013,753655,815037,1010809,972164,919355,1059082,1205152,1358909,1156913,1087974,907901,928599
2014,842671,886026,1132155,1251374,1239606,1273627,1354753,1454078,1245777,1317482,1117398,1086569
2015,917054,1050706,1238144,1384567,1334212,750925,629737,1069314,1206764,1383704,1150074,1116450
2016,1077431,1126250,1389399,1469674,1492680,1554413,1703495,1664303,1523928,1587797,1309055,1343398
2017,1220695,1252080,1233640,1075899,977889,991802,1008671,1103506,1078653,1165638,1093217,1134068
2018,956036,1045415,1366100,1331709,1238021,1282093,1254833,1391727,1278604,1527832,1350390,1324119
2019,1104803,1201802,1535641,1635066,1485684,1476218,1448067,1586299,1459664,1656195,1456429,1456888
2020,1272708,685212,83497,29415,30806,36938,61012,68797,65040,61585,61764,62344
2021,58397,65582,74604,70112,74463,77029,83005,97087,89800,92416,94358,90150
2022,81851,99999,96768,127919,175922,227713,263986,310945,337638,476097,459906,539273
2023,434429,479248,800575,888776,867130,960638,1032188,1089133,1098034,1229899,1114990,1036625
2024,880881,1030244,1491748,1462797,1418463,1417274,1408499,1563221,1464300,1600263,1361076,1270863
